"region","technology","year","sector.name","subsector.name","input.capital","capital.overnight","fixed.charge.rate","capacity.factor"
"Africa_Eastern","CSP",1975,"electricity","solar","capital",1487,0.13,0.25
"Africa_Eastern","CSP",1990,"electricity","solar","capital",1487,0.13,0.25
"Africa_Eastern","CSP",2005,"electricity","solar","capital",1487,0.13,0.25
"Africa_Eastern","CSP",2010,"electricity","solar","capital",1487,0.13,0.25
"Africa_Eastern","CSP",2015,"electricity","solar","capital",1487,0.13,0.25
"Africa_Eastern","CSP",2020,"electricity","solar","capital",1353,0.13,0.25
"Africa_Eastern","CSP",2025,"electricity","solar","capital",1248,0.13,0.25
"Africa_Eastern","CSP",2030,"electricity","solar","capital",1168,0.13,0.25
"Africa_Eastern","CSP",2035,"electricity","solar","capital",1106,0.13,0.25
"Africa_Eastern","CSP",2040,"electricity","solar","capital",1057,0.13,0.25
"Africa_Eastern","CSP",2045,"electricity","solar","capital",1020,0.13,0.25
"Africa_Eastern","CSP",2050,"electricity","solar","capital",991,0.13,0.25
"Africa_Eastern","CSP",2055,"electricity","solar","capital",969,0.13,0.25
"Africa_Eastern","CSP",2060,"electricity","solar","capital",951,0.13,0.25
"Africa_Eastern","CSP",2065,"electricity","solar","capital",938,0.13,0.25
"Africa_Eastern","CSP",2070,"electricity","solar","capital",928,0.13,0.25
"Africa_Eastern","CSP",2075,"electricity","solar","capital",920,0.13,0.25
"Africa_Eastern","CSP",2080,"electricity","solar","capital",914,0.13,0.25
"Africa_Eastern","CSP",2085,"electricity","solar","capital",909,0.13,0.25
"Africa_Eastern","CSP",2090,"electricity","solar","capital",905,0.13,0.25
"Africa_Eastern","CSP",2095,"electricity","solar","capital",902,0.13,0.25
"Africa_Eastern","CSP",2100,"electricity","solar","capital",900,0.13,0.25
"Africa_Eastern","CSP_storage",1975,"electricity","solar","capital",2479,0.13,0.65
"Africa_Eastern","CSP_storage",1990,"electricity","solar","capital",2479,0.13,0.65
"Africa_Eastern","CSP_storage",2005,"electricity","solar","capital",2479,0.13,0.65
"Africa_Eastern","CSP_storage",2010,"electricity","solar","capital",2479,0.13,0.65
"Africa_Eastern","CSP_storage",2015,"electricity","solar","capital",2479,0.13,0.65
"Africa_Eastern","CSP_storage",2020,"electricity","solar","capital",2302,0.13,0.65
"Africa_Eastern","CSP_storage",2025,"electricity","solar","capital",2162,0.13,0.65
"Africa_Eastern","CSP_storage",2030,"electricity","solar","capital",2050,0.13,0.65
"Africa_Eastern","CSP_storage",2035,"electricity","solar","capital",1961,0.13,0.65
"Africa_Eastern","CSP_storage",2040,"electricity","solar","capital",1890,0.13,0.65
"Africa_Eastern","CSP_storage",2045,"electricity","solar","capital",1833,0.13,0.65
"Africa_Eastern","CSP_storage",2050,"electricity","solar","capital",1788,0.13,0.65
"Africa_Eastern","CSP_storage",2055,"electricity","solar","capital",1751,0.13,0.65
"Africa_Eastern","CSP_storage",2060,"electricity","solar","capital",1721,0.13,0.65
"Africa_Eastern","CSP_storage",2065,"electricity","solar","capital",1697,0.13,0.65
"Africa_Eastern","CSP_storage",2070,"electricity","solar","capital",1677,0.13,0.65
"Africa_Eastern","CSP_storage",2075,"electricity","solar","capital",1662,0.13,0.65
"Africa_Eastern","CSP_storage",2080,"electricity","solar","capital",1649,0.13,0.65
"Africa_Eastern","CSP_storage",2085,"electricity","solar","capital",1638,0.13,0.65
"Africa_Eastern","CSP_storage",2090,"electricity","solar","capital",1629,0.13,0.65
"Africa_Eastern","CSP_storage",2095,"electricity","solar","capital",1622,0.13,0.65
"Africa_Eastern","CSP_storage",2100,"electricity","solar","capital",1616,0.13,0.65
"Africa_Eastern","Gen_III",1975,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_III",1990,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_III",2005,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_III",2010,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_III",2015,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_III",2020,"electricity","nuclear","capital",1683,0.13,0.9
"Africa_Eastern","Gen_III",2025,"electricity","nuclear","capital",1663,0.13,0.9
"Africa_Eastern","Gen_III",2030,"electricity","nuclear","capital",1644,0.13,0.9
"Africa_Eastern","Gen_III",2035,"electricity","nuclear","capital",1626,0.13,0.9
"Africa_Eastern","Gen_III",2040,"electricity","nuclear","capital",1609,0.13,0.9
"Africa_Eastern","Gen_III",2045,"electricity","nuclear","capital",1593,0.13,0.9
"Africa_Eastern","Gen_III",2050,"electricity","nuclear","capital",1578,0.13,0.9
"Africa_Eastern","Gen_III",2055,"electricity","nuclear","capital",1563,0.13,0.9
"Africa_Eastern","Gen_III",2060,"electricity","nuclear","capital",1549,0.13,0.9
"Africa_Eastern","Gen_III",2065,"electricity","nuclear","capital",1536,0.13,0.9
"Africa_Eastern","Gen_III",2070,"electricity","nuclear","capital",1523,0.13,0.9
"Africa_Eastern","Gen_III",2075,"electricity","nuclear","capital",1511,0.13,0.9
"Africa_Eastern","Gen_III",2080,"electricity","nuclear","capital",1500,0.13,0.9
"Africa_Eastern","Gen_III",2085,"electricity","nuclear","capital",1489,0.13,0.9
"Africa_Eastern","Gen_III",2090,"electricity","nuclear","capital",1479,0.13,0.9
"Africa_Eastern","Gen_III",2095,"electricity","nuclear","capital",1469,0.13,0.9
"Africa_Eastern","Gen_III",2100,"electricity","nuclear","capital",1459,0.13,0.9
"Africa_Eastern","Gen_II_LWR",1975,"electricity","nuclear","capital",1650,0.13,0.9
"Africa_Eastern","Gen_II_LWR",1990,"electricity","nuclear","capital",1650,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2005,"electricity","nuclear","capital",1650,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2010,"electricity","nuclear","capital",1650,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2015,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2020,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2025,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2030,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2035,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2040,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2045,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2050,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2055,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2060,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2065,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2070,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2075,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2080,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2085,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2090,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2095,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","Gen_II_LWR",2100,"electricity","nuclear","capital",1704,0.13,0.9
"Africa_Eastern","PV",1975,"electricity","solar","capital",578,0.13,0.2
"Africa_Eastern","PV",1990,"electricity","solar","capital",578,0.13,0.2
"Africa_Eastern","PV",2005,"electricity","solar","capital",578,0.13,0.2
"Africa_Eastern","PV",2010,"electricity","solar","capital",578,0.13,0.2
"Africa_Eastern","PV",2015,"electricity","solar","capital",578,0.13,0.2
"Africa_Eastern","PV",2020,"electricity","solar","capital",554,0.13,0.2
"Africa_Eastern","PV",2025,"electricity","solar","capital",533,0.13,0.2
"Africa_Eastern","PV",2030,"electricity","solar","capital",515,0.13,0.2
"Africa_Eastern","PV",2035,"electricity","solar","capital",499,0.13,0.2
"Africa_Eastern","PV",2040,"electricity","solar","capital",486,0.13,0.2
"Africa_Eastern","PV",2045,"electricity","solar","capital",474,0.13,0.2
"Africa_Eastern","PV",2050,"electricity","solar","capital",465,0.13,0.2
"Africa_Eastern","PV",2055,"electricity","solar","capital",456,0.13,0.2
"Africa_Eastern","PV",2060,"electricity","solar","capital",449,0.13,0.2
"Africa_Eastern","PV",2065,"electricity","solar","capital",443,0.13,0.2
"Africa_Eastern","PV",2070,"electricity","solar","capital",437,0.13,0.2
"Africa_Eastern","PV",2075,"electricity","solar","capital",433,0.13,0.2
"Africa_Eastern","PV",2080,"electricity","solar","capital",429,0.13,0.2
"Africa_Eastern","PV",2085,"electricity","solar","capital",425,0.13,0.2
"Africa_Eastern","PV",2090,"electricity","solar","capital",423,0.13,0.2
"Africa_Eastern","PV",2095,"electricity","solar","capital",420,0.13,0.2
"Africa_Eastern","PV",2100,"electricity","solar","capital",418,0.13,0.2
